date,campaign_id,platform,impressions,clicks,conversions,spend,ctr,conversion_rate,cost_per_click,cost_per_conversion
2023-07-04,CAMP_002,Facebook Ads,52261,951,4,976.98,1.82,0.42,1.03,244.25
2023-04-26,CAMP_008,Google Ads,92042,559,17,912.17,0.61,3.04,1.63,53.66
2023-09-07,CAMP_010,Instagram Ads,59874,547,35,906.84,0.91,6.4,1.66,25.91
2023-11-23,CAMP_005,Google Ads,62131,501,37,357.46,0.81,7.39,0.71,9.66
2023-09-03,CAMP_005,Instagram Ads,59684,757,12,264.07,1.27,1.59,0.35,22.01
2023-02-02,CAMP_006,Google Ads,6813,73,15,222.88,1.07,20.55,3.05,14.86
2023-04-24,CAMP_009,Facebook Ads,93495,85,22,816.65,0.09,25.88,9.61,37.12
2023-02-10,CAMP_008,Instagram Ads,63114,416,46,387.12,0.66,11.06,0.93,8.42
2023-05-10,CAMP_006,Google Ads,97511,511,24,305.9,0.52,4.7,0.6,12.75
2023-09-20,CAMP_002,Facebook Ads,38163,989,9,217.97,2.59,0.91,0.22,24.22
2023-04-16,CAMP_007,Google Ads,73983,210,27,461.9,0.28,12.86,2.2,17.11
2023-06-16,CAMP_006,LinkedIn Ads,77924,501,11,679.48,0.64,2.2,1.36,61.77
2023-02-11,CAMP_008,LinkedIn Ads,5575,235,32,236.7,4.22,13.62,1.01,7.4
2023-11-01,CAMP_006,Facebook Ads,1111,109,5,108.94,9.81,4.59,1.0,21.79
2023-04-10,CAMP_010,Google Ads,92448,279,48,91.56,0.3,17.2,0.33,1.91
2023-02-05,CAMP_003,Google Ads,21230,508,31,786.43,2.39,6.1,1.55,25.37
2023-04-25,CAMP_005,LinkedIn Ads,27816,371,1,132.62,1.33,0.27,0.36,132.62
2023-10-20,CAMP_002,Facebook Ads,60172,468,37,409.32,0.78,7.91,0.87,11.06
2023-12-21,CAMP_002,Google Ads,75149,345,1,95.53,0.46,0.29,0.28,95.53
2023-11-18,CAMP_002,LinkedIn Ads,48331,403,13,81.28,0.83,3.23,0.2,6.25
2023-09-12,CAMP_008,Google Ads,30099,436,14,331.63,1.45,3.21,0.76,23.69
2023-07-23,CAMP_006,Facebook Ads,74669,378,0,928.35,0.51,0.0,2.46,
2023-12-25,CAMP_001,Google Ads,88013,34,35,776.62,0.04,102.94,22.84,22.19
2023-06-09,CAMP_007,Instagram Ads,23732,35,13,974.48,0.15,37.14,27.84,74.96
2023-06-10,CAMP_002,Google Ads,14393,877,10,958.8,6.09,1.14,1.09,95.88
2023-04-19,CAMP_003,Instagram Ads,65201,674,0,87.2,1.03,0.0,0.13,
2023-06-29,CAMP_005,Facebook Ads,87499,657,23,865.08,0.75,3.5,1.32,37.61
2023-08-26,CAMP_010,Instagram Ads,96960,943,24,445.5,0.97,2.55,0.47,18.56
2023-03-12,CAMP_002,LinkedIn Ads,74684,472,30,122.95,0.63,6.36,0.26,4.1
2023-05-05,CAMP_001,Facebook Ads,4978,516,14,622.12,10.37,2.71,1.21,44.44
2023-10-07,CAMP_009,Google Ads,18529,952,45,570.51,5.14,4.73,0.6,12.68
2023-05-17,CAMP_010,Instagram Ads,47640,200,33,830.67,0.42,16.5,4.15,25.17
2023-02-26,CAMP_010,Google Ads,64960,726,22,650.05,1.12,3.03,0.9,29.55
2023-07-28,CAMP_008,Instagram Ads,59563,775,12,946.28,1.3,1.55,1.22,78.86
2023-12-20,CAMP_010,Google Ads,25162,975,27,930.43,3.87,2.77,0.95,34.46
2023-11-16,CAMP_002,LinkedIn Ads,95992,528,0,735.0,0.55,0.0,1.39,
2023-09-05,CAMP_006,Google Ads,1029,728,8,322.79,70.75,1.1,0.44,40.35
2023-06-09,CAMP_008,Facebook Ads,40507,445,19,268.29,1.1,4.27,0.6,14.12
2023-06-07,CAMP_009,Google Ads,25437,731,41,70.19,2.87,5.61,0.1,1.71
2023-04-29,CAMP_003,Google Ads,7851,212,9,426.34,2.7,4.25,2.01,47.37
2023-08-01,CAMP_003,Facebook Ads,14812,312,43,660.94,2.11,13.78,2.12,15.37
2023-08-04,CAMP_009,Google Ads,94877,786,19,279.87,0.83,2.42,0.36,14.73
2023-07-31,CAMP_007,Facebook Ads,10912,970,11,505.18,8.89,1.13,0.52,45.93
2023-01-05,CAMP_004,Facebook Ads,32099,930,2,437.73,2.9,0.22,0.47,218.87
2023-03-21,CAMP_010,Google Ads,2173,256,11,778.28,11.78,4.3,3.04,70.75
2023-09-01,CAMP_008,Google Ads,33141,616,5,83.7,1.86,0.81,0.14,16.74
2023-06-28,CAMP_004,Instagram Ads,96088,20,38,942.5,0.02,190.0,47.12,24.8
2023-05-20,CAMP_004,Instagram Ads,70229,40,38,781.68,0.06,95.0,19.54,20.57
2023-11-27,CAMP_001,Facebook Ads,23244,347,37,580.07,1.49,10.66,1.67,15.68
2023-07-27,CAMP_002,Google Ads,24464,89,6,281.49,0.36,6.74,3.16,46.91
2023-05-26,CAMP_007,Instagram Ads,38399,468,13,866.75,1.22,2.78,1.85,66.67
2023-02-19,CAMP_004,LinkedIn Ads,35143,504,20,228.56,1.43,3.97,0.45,11.43
2023-03-10,CAMP_009,LinkedIn Ads,26441,12,40,589.61,0.05,333.33,49.13,14.74
2023-10-09,CAMP_001,LinkedIn Ads,24607,578,34,606.96,2.35,5.88,1.05,17.85
2023-01-19,CAMP_009,LinkedIn Ads,70608,922,40,878.5,1.31,4.34,0.95,21.96
2023-07-06,CAMP_008,Instagram Ads,19341,143,47,241.8,0.74,32.87,1.69,5.14
2023-12-06,CAMP_005,Instagram Ads,75291,693,30,725.87,0.92,4.33,1.05,24.2
2023-05-17,CAMP_010,LinkedIn Ads,76515,86,18,653.71,0.11,20.93,7.6,36.32
2023-06-23,CAMP_008,LinkedIn Ads,88088,334,5,461.97,0.38,1.5,1.38,92.39
2023-11-25,CAMP_010,Instagram Ads,47538,786,23,888.17,1.65,2.93,1.13,38.62
2023-09-20,CAMP_001,Facebook Ads,1210,274,35,896.66,22.64,12.77,3.27,25.62
2023-02-02,CAMP_007,LinkedIn Ads,69237,285,1,719.55,0.41,0.35,2.52,719.55
2023-08-20,CAMP_004,Facebook Ads,77794,244,50,519.75,0.31,20.49,2.13,10.39
2023-10-25,CAMP_008,Instagram Ads,62667,426,1,548.29,0.68,0.23,1.29,548.29
2023-05-15,CAMP_008,Google Ads,65207,448,28,922.77,0.69,6.25,2.06,32.96
2023-11-29,CAMP_002,Facebook Ads,68893,190,14,369.81,0.28,7.37,1.95,26.41
2023-10-27,CAMP_004,Facebook Ads,28639,289,3,512.54,1.01,1.04,1.77,170.85
2023-10-09,CAMP_001,Google Ads,54222,998,49,443.66,1.84,4.91,0.44,9.05
2023-12-04,CAMP_004,Instagram Ads,27062,474,13,992.98,1.75,2.74,2.09,76.38
2023-06-06,CAMP_010,LinkedIn Ads,41343,459,9,239.2,1.11,1.96,0.52,26.58
2023-10-21,CAMP_009,Facebook Ads,15722,154,8,883.94,0.98,5.19,5.74,110.49
2023-10-30,CAMP_004,Google Ads,65183,982,34,627.14,1.51,3.46,0.64,18.45
2023-09-18,CAMP_003,Google Ads,24329,795,2,433.2,3.27,0.25,0.54,216.6
2023-12-06,CAMP_009,Google Ads,63138,969,4,549.24,1.53,0.41,0.57,137.31
2023-12-04,CAMP_007,Google Ads,36782,961,5,201.28,2.61,0.52,0.21,40.26
2023-04-08,CAMP_003,Instagram Ads,84218,876,36,512.85,1.04,4.11,0.59,14.25
2023-11-13,CAMP_003,Facebook Ads,99848,728,8,187.62,0.73,1.1,0.26,23.45
2023-08-25,CAMP_007,Instagram Ads,80750,801,39,425.8,0.99,4.87,0.53,10.92
2023-11-27,CAMP_009,LinkedIn Ads,81095,674,17,873.4,0.83,2.52,1.3,51.38
2023-03-06,CAMP_010,Google Ads,78693,658,35,897.29,0.84,5.32,1.36,25.64
2023-03-08,CAMP_007,Facebook Ads,43112,227,23,588.63,0.53,10.13,2.59,25.59
2023-06-10,CAMP_010,LinkedIn Ads,66874,533,35,361.23,0.8,6.57,0.68,10.32
2023-08-05,CAMP_007,Google Ads,60155,611,6,990.31,1.02,0.98,1.62,165.05
2023-04-24,CAMP_004,LinkedIn Ads,80283,277,28,213.24,0.35,10.11,0.77,7.62
2023-10-23,CAMP_006,LinkedIn Ads,42846,33,11,288.76,0.08,33.33,8.75,26.25
2023-11-19,CAMP_007,LinkedIn Ads,28723,521,41,925.74,1.81,7.87,1.78,22.58
2023-12-16,CAMP_002,LinkedIn Ads,36941,331,18,154.08,0.9,5.44,0.47,8.56
2023-04-07,CAMP_004,LinkedIn Ads,72814,827,29,204.44,1.14,3.51,0.25,7.05
2023-10-12,CAMP_010,Facebook Ads,75523,801,29,340.77,1.06,3.62,0.43,11.75
2023-07-17,CAMP_010,LinkedIn Ads,83803,291,33,493.35,0.35,11.34,1.7,14.95
2023-03-19,CAMP_002,Instagram Ads,38614,780,16,292.42,2.02,2.05,0.37,18.28
2023-01-16,CAMP_002,Facebook Ads,89792,349,44,507.45,0.39,12.61,1.45,11.53
2023-10-06,CAMP_005,Google Ads,64318,250,11,788.06,0.39,4.4,3.15,71.64
2023-08-02,CAMP_002,Instagram Ads,55614,446,29,272.44,0.8,6.5,0.61,9.39
2023-09-04,CAMP_002,LinkedIn Ads,95011,582,41,151.83,0.61,7.04,0.26,3.7
2023-09-05,CAMP_008,LinkedIn Ads,49596,667,45,694.47,1.34,6.75,1.04,15.43
2023-10-26,CAMP_002,Instagram Ads,25636,741,38,641.58,2.89,5.13,0.87,16.88
2023-01-06,CAMP_010,LinkedIn Ads,66705,680,9,480.77,1.02,1.32,0.71,53.42
2023-02-27,CAMP_007,Google Ads,50422,668,32,154.23,1.32,4.79,0.23,4.82
2023-02-26,CAMP_010,Facebook Ads,50596,48,45,326.93,0.09,93.75,6.81,7.27
2023-02-01,CAMP_006,Facebook Ads,30578,59,0,764.15,0.19,0.0,12.95,
2023-09-01,CAMP_010,Instagram Ads,56106,966,49,213.63,1.72,5.07,0.22,4.36
2023-03-24,CAMP_010,Instagram Ads,68161,621,26,636.67,0.91,4.19,1.03,24.49
2023-03-29,CAMP_005,Google Ads,89303,947,38,373.56,1.06,4.01,0.39,9.83
2023-02-17,CAMP_008,Facebook Ads,23531,616,0,367.34,2.62,0.0,0.6,
2023-08-06,CAMP_010,Facebook Ads,18720,173,29,983.46,0.92,16.76,5.68,33.91
2023-05-12,CAMP_005,Google Ads,77831,185,46,417.65,0.24,24.86,2.26,9.08
2023-09-06,CAMP_001,Facebook Ads,95982,368,21,932.38,0.38,5.71,2.53,44.4
2023-06-06,CAMP_004,Facebook Ads,58416,774,22,422.52,1.32,2.84,0.55,19.21
2023-03-01,CAMP_002,Instagram Ads,15339,542,15,853.16,3.53,2.77,1.57,56.88
2023-11-01,CAMP_008,Facebook Ads,30391,816,12,936.05,2.69,1.47,1.15,78.0
2023-08-28,CAMP_004,LinkedIn Ads,26286,852,48,827.62,3.24,5.63,0.97,17.24
2023-04-18,CAMP_010,Facebook Ads,26084,956,14,789.05,3.67,1.46,0.83,56.36
2023-09-15,CAMP_007,Google Ads,24005,232,36,255.89,0.97,15.52,1.1,7.11
2023-09-25,CAMP_009,LinkedIn Ads,51209,72,2,224.61,0.14,2.78,3.12,112.31
2023-08-08,CAMP_009,Google Ads,70724,750,32,318.65,1.06,4.27,0.42,9.96
2023-04-21,CAMP_008,Facebook Ads,3939,692,7,817.78,17.57,1.01,1.18,116.83
2023-04-12,CAMP_010,Google Ads,62748,297,29,386.13,0.47,9.76,1.3,13.31
2023-01-07,CAMP_009,LinkedIn Ads,87756,822,2,871.28,0.94,0.24,1.06,435.64
2023-10-27,CAMP_010,Instagram Ads,96738,154,17,815.2,0.16,11.04,5.29,47.95
2023-05-16,CAMP_005,LinkedIn Ads,22074,694,33,978.67,3.14,4.76,1.41,29.66
2023-10-03,CAMP_001,Facebook Ads,74644,912,39,60.03,1.22,4.28,0.07,1.54
2023-11-11,CAMP_002,LinkedIn Ads,69306,792,34,588.58,1.14,4.29,0.74,17.31
2023-11-11,CAMP_009,Facebook Ads,78334,207,5,844.46,0.26,2.42,4.08,168.89
2023-12-30,CAMP_010,Google Ads,29910,522,23,851.61,1.75,4.41,1.63,37.03
2023-09-21,CAMP_001,Instagram Ads,47046,742,43,251.92,1.58,5.8,0.34,5.86
2023-11-22,CAMP_010,Instagram Ads,20188,798,5,922.26,3.95,0.63,1.16,184.45
2023-07-11,CAMP_003,Facebook Ads,28821,505,28,108.36,1.75,5.54,0.21,3.87
2023-09-25,CAMP_003,Google Ads,94860,360,13,983.6,0.38,3.61,2.73,75.66
2023-10-04,CAMP_002,Google Ads,4837,494,4,435.1,10.21,0.81,0.88,108.78
2023-04-24,CAMP_001,Instagram Ads,20528,912,2,695.53,4.44,0.22,0.76,347.76
2023-03-29,CAMP_005,Facebook Ads,96330,253,13,374.8,0.26,5.14,1.48,28.83
2023-05-11,CAMP_008,Instagram Ads,3164,335,3,755.57,10.59,0.9,2.26,251.86
2023-03-07,CAMP_003,Google Ads,91185,879,6,386.38,0.96,0.68,0.44,64.4
2023-09-30,CAMP_008,Facebook Ads,61940,842,7,188.2,1.36,0.83,0.22,26.89
2023-06-26,CAMP_008,Google Ads,19325,306,30,213.63,1.58,9.8,0.7,7.12
2023-11-18,CAMP_007,LinkedIn Ads,22045,363,21,612.7,1.65,5.79,1.69,29.18
2023-10-07,CAMP_004,Instagram Ads,66902,696,29,423.37,1.04,4.17,0.61,14.6
2023-09-15,CAMP_006,Instagram Ads,42935,395,17,915.55,0.92,4.3,2.32,53.86
2023-05-15,CAMP_010,Facebook Ads,36420,528,2,386.72,1.45,0.38,0.73,193.36
2023-08-20,CAMP_002,LinkedIn Ads,50156,297,40,70.93,0.59,13.47,0.24,1.77
2023-01-27,CAMP_007,Facebook Ads,41961,783,40,673.43,1.87,5.11,0.86,16.84
2023-08-22,CAMP_010,LinkedIn Ads,40631,531,25,809.36,1.31,4.71,1.52,32.37
2023-06-29,CAMP_004,Google Ads,41117,985,48,848.71,2.4,4.87,0.86,17.68
2023-08-04,CAMP_001,Google Ads,47776,167,45,108.64,0.35,26.95,0.65,2.41
2023-08-18,CAMP_001,Facebook Ads,30568,540,2,487.53,1.77,0.37,0.9,243.76
2023-05-06,CAMP_007,Google Ads,10394,28,48,779.72,0.27,171.43,27.85,16.24
2023-12-19,CAMP_008,LinkedIn Ads,40206,818,15,266.03,2.03,1.83,0.33,17.74
2023-11-08,CAMP_008,Instagram Ads,25176,801,44,106.66,3.18,5.49,0.13,2.42
2023-02-18,CAMP_006,Instagram Ads,95625,238,29,970.5,0.25,12.18,4.08,33.47
2023-05-25,CAMP_006,Google Ads,58143,409,9,617.37,0.7,2.2,1.51,68.6
2023-08-30,CAMP_005,LinkedIn Ads,65714,257,38,476.14,0.39,14.79,1.85,12.53
2023-03-09,CAMP_007,Facebook Ads,71246,686,19,408.13,0.96,2.77,0.59,21.48
2023-10-19,CAMP_010,Instagram Ads,29904,981,42,994.54,3.28,4.28,1.01,23.68
2023-06-09,CAMP_007,LinkedIn Ads,88596,562,6,357.32,0.63,1.07,0.64,59.55
2023-03-31,CAMP_003,LinkedIn Ads,95876,152,48,409.75,0.16,31.58,2.7,8.54
2023-01-25,CAMP_006,Instagram Ads,41932,499,41,145.41,1.19,8.22,0.29,3.55
2023-05-22,CAMP_009,Facebook Ads,94611,373,34,128.65,0.39,9.12,0.34,3.78
2023-04-27,CAMP_009,Instagram Ads,4607,970,17,929.82,21.05,1.75,0.96,54.7
2023-10-07,CAMP_005,Instagram Ads,21913,352,25,733.18,1.61,7.1,2.08,29.33
2023-01-08,CAMP_006,Facebook Ads,6879,309,11,128.24,4.49,3.56,0.42,11.66
2023-07-21,CAMP_006,Instagram Ads,31810,953,49,273.57,3.0,5.14,0.29,5.58
2023-08-13,CAMP_007,LinkedIn Ads,7594,150,48,943.65,1.98,32.0,6.29,19.66
2023-07-04,CAMP_005,Facebook Ads,36828,148,4,679.74,0.4,2.7,4.59,169.94
2023-10-01,CAMP_006,LinkedIn Ads,89456,564,29,879.58,0.63,5.14,1.56,30.33
2023-02-17,CAMP_009,LinkedIn Ads,53739,528,0,833.86,0.98,0.0,1.58,
2023-07-13,CAMP_008,Facebook Ads,43607,46,22,236.76,0.11,47.83,5.15,10.76
2023-06-05,CAMP_007,Instagram Ads,97130,613,31,507.24,0.63,5.06,0.83,16.36
2023-03-14,CAMP_010,Facebook Ads,50287,227,22,854.09,0.45,9.69,3.76,38.82
2023-11-24,CAMP_010,Google Ads,99483,720,23,312.21,0.72,3.19,0.43,13.57
2023-05-16,CAMP_009,LinkedIn Ads,16791,161,30,286.77,0.96,18.63,1.78,9.56
2023-01-16,CAMP_008,Facebook Ads,40483,840,9,740.8,2.07,1.07,0.88,82.31
2023-11-22,CAMP_008,LinkedIn Ads,46870,277,46,719.99,0.59,16.61,2.6,15.65
2023-11-30,CAMP_007,Facebook Ads,12508,289,17,193.42,2.31,5.88,0.67,11.38
2023-08-23,CAMP_007,LinkedIn Ads,95438,721,39,603.09,0.76,5.41,0.84,15.46
2023-10-01,CAMP_008,Facebook Ads,96727,478,34,766.92,0.49,7.11,1.6,22.56
2023-07-27,CAMP_001,Instagram Ads,77925,888,29,542.08,1.14,3.27,0.61,18.69
2023-12-08,CAMP_002,LinkedIn Ads,58257,726,5,994.08,1.25,0.69,1.37,198.82
2023-01-16,CAMP_002,Google Ads,39153,227,48,253.07,0.58,21.15,1.11,5.27
2023-07-09,CAMP_007,LinkedIn Ads,40596,688,18,196.37,1.69,2.62,0.29,10.91
2023-11-05,CAMP_002,Facebook Ads,15242,923,40,450.51,6.06,4.33,0.49,11.26
2023-11-19,CAMP_007,Facebook Ads,91728,659,32,770.47,0.72,4.86,1.17,24.08
2023-04-28,CAMP_008,Facebook Ads,21746,619,45,365.71,2.85,7.27,0.59,8.13
2023-04-14,CAMP_010,Facebook Ads,61317,484,13,263.66,0.79,2.69,0.54,20.28
2023-02-28,CAMP_001,Facebook Ads,92730,143,8,70.1,0.15,5.59,0.49,8.76
2023-01-04,CAMP_009,Facebook Ads,70878,433,31,882.51,0.61,7.16,2.04,28.47
2023-02-18,CAMP_010,LinkedIn Ads,94426,136,8,459.64,0.14,5.88,3.38,57.45
2023-07-19,CAMP_002,LinkedIn Ads,46545,560,28,99.07,1.2,5.0,0.18,3.54
2023-04-07,CAMP_004,Facebook Ads,77353,196,18,106.45,0.25,9.18,0.54,5.91
2023-11-30,CAMP_009,Instagram Ads,94395,137,33,455.52,0.15,24.09,3.32,13.8
2023-05-16,CAMP_009,Facebook Ads,37075,280,21,922.37,0.76,7.5,3.29,43.92
2023-09-08,CAMP_003,Instagram Ads,5063,969,46,401.91,19.14,4.75,0.41,8.74
2023-06-24,CAMP_010,Google Ads,75447,560,42,194.84,0.74,7.5,0.35,4.64
2023-03-27,CAMP_010,Google Ads,39770,587,10,518.56,1.48,1.7,0.88,51.86
2023-10-31,CAMP_007,Google Ads,31539,563,0,611.2,1.79,0.0,1.09,
2023-12-11,CAMP_010,Instagram Ads,86660,114,1,371.9,0.13,0.88,3.26,371.9
2023-09-12,CAMP_009,Instagram Ads,70998,345,11,617.43,0.49,3.19,1.79,56.13
2023-02-18,CAMP_007,Facebook Ads,55330,754,45,684.12,1.36,5.97,0.91,15.2
2023-06-21,CAMP_006,Instagram Ads,18565,961,27,109.43,5.18,2.81,0.11,4.05
2023-01-09,CAMP_008,LinkedIn Ads,24575,880,10,537.15,3.58,1.14,0.61,53.71
2023-05-22,CAMP_001,Instagram Ads,42804,289,33,214.3,0.68,11.42,0.74,6.49
2023-10-20,CAMP_002,Instagram Ads,27796,870,5,823.01,3.13,0.57,0.95,164.6
2023-09-28,CAMP_007,Facebook Ads,83751,350,14,639.07,0.42,4.0,1.83,45.65
2023-02-16,CAMP_010,LinkedIn Ads,6090,749,18,338.5,12.3,2.4,0.45,18.81
2023-08-29,CAMP_003,Google Ads,6666,238,46,968.39,3.57,19.33,4.07,21.05
2023-08-15,CAMP_005,Google Ads,27369,371,26,176.07,1.36,7.01,0.47,6.77
2023-11-12,CAMP_003,LinkedIn Ads,66553,80,15,296.52,0.12,18.75,3.71,19.77
2023-07-21,CAMP_003,Facebook Ads,81144,611,49,132.66,0.75,8.02,0.22,2.71
2023-10-16,CAMP_006,Google Ads,40620,836,4,662.38,2.06,0.48,0.79,165.59
2023-05-10,CAMP_009,Google Ads,70158,993,0,984.69,1.42,0.0,0.99,
2023-08-31,CAMP_002,LinkedIn Ads,99220,840,30,527.57,0.85,3.57,0.63,17.59
2023-04-09,CAMP_009,Facebook Ads,98967,19,33,666.57,0.02,173.68,35.08,20.2
2023-02-08,CAMP_009,Instagram Ads,4256,630,42,672.84,14.8,6.67,1.07,16.02
2023-11-25,CAMP_008,Facebook Ads,72244,189,22,722.63,0.26,11.64,3.82,32.85
2023-01-15,CAMP_010,Facebook Ads,86714,747,34,428.49,0.86,4.55,0.57,12.6
2023-10-02,CAMP_009,Google Ads,56374,17,44,698.18,0.03,258.82,41.07,15.87
2023-12-03,CAMP_008,LinkedIn Ads,39350,218,45,999.2,0.55,20.64,4.58,22.2
2023-04-03,CAMP_008,Google Ads,91448,687,14,369.89,0.75,2.04,0.54,26.42
2023-03-13,CAMP_001,Google Ads,10663,508,30,440.54,4.76,5.91,0.87,14.68
2023-12-08,CAMP_010,Google Ads,56432,229,40,218.63,0.41,17.47,0.95,5.47
2023-10-01,CAMP_005,Facebook Ads,14603,681,45,203.01,4.66,6.61,0.3,4.51
2023-10-18,CAMP_001,Facebook Ads,57473,538,45,137.55,0.94,8.36,0.26,3.06
2023-11-30,CAMP_004,Google Ads,56460,711,34,418.79,1.26,4.78,0.59,12.32
2023-05-23,CAMP_009,Instagram Ads,1348,141,4,433.74,10.46,2.84,3.08,108.44
2023-07-21,CAMP_005,Google Ads,6480,959,28,265.68,14.8,2.92,0.28,9.49
2023-06-24,CAMP_003,Facebook Ads,82394,503,13,823.87,0.61,2.58,1.64,63.37
2023-10-29,CAMP_004,Facebook Ads,5117,836,34,728.94,16.34,4.07,0.87,21.44
2023-11-22,CAMP_005,Google Ads,84292,483,0,791.35,0.57,0.0,1.64,
2023-02-11,CAMP_001,LinkedIn Ads,68335,350,15,809.88,0.51,4.29,2.31,53.99
2023-03-04,CAMP_007,Instagram Ads,5521,408,23,775.31,7.39,5.64,1.9,33.71
2023-01-09,CAMP_010,Google Ads,54966,945,50,362.86,1.72,5.29,0.38,7.26
2023-11-12,CAMP_009,Facebook Ads,85534,845,12,965.73,0.99,1.42,1.14,80.48
